source_id,school_year,term,grade,district,exam_name,question_no,initial,answer,alternatives,source_type,confidence,source_url,note
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,61,e,everyone,everybody,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,62,n,night,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,63,e,enough,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,64,t,time,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,65,p,put,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,66,b,breakfast,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,67,u,usually,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,68,s,smile,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,69,w,world,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
HX-2022-2023-QS,2022-2023,七上期末,七年级,河西区,天津市河西区七年级上册期末英语试卷及答案,70,r,remember,,原始Word可抽取,高,https://file.you123.top/upload/xueke/attach/2024/07/09/2022-2023%E5%AD%A6%E5%B9%B4%E5%A4%A9%E6%B4%A5%E5%B8%82%E6%B2%B3%E8%A5%BF%E5%8C%BA%E4%B8%83%E5%B9%B4%E7%BA%A7%E4%B8%8A%E5%86%8C%E6%9C%9F%E6%9C%AB%E8%8B%B1%E8%AF%AD%E8%AF%95%E5%8D%B7%E5%8F%8A%E7%AD%94%E6%A1%88%28Word%E7%89%88%29.doc,Word 文件正文与答案均已抽取
