word,meaning,type,priority,tianjin_hits,national_hits,source_note
a/an,一（个、件……）,exam,1,0,0,中考词表
ability,能力;才能,exam,2,0,4,中考词表
able,能够;有能力的,exam,3,0,18,中考词表
about,大约;到处;四处 prep. 关于;在各处;四处,exam,4,60,266,中考词表
above,在…上面 a. 上面的 ad. 在…之上,exam,5,0,15,中考词表
abroad,到（在）国外,exam,6,0,10,中考词表
accept,接受,exam,7,2,6,中考词表
accident,"事故,意外",exam,8,0,9,中考词表
across,"横过;穿过;另一边,在对面",exam,9,0,14,中考词表
act,"法令,条例 v. 行动,（戏）表演,扮演（角色）",exam,10,2,2,中考词表
action,"行动,行为,举动",exam,11,0,6,中考词表
active,"积极的,主动的",exam,12,7,6,中考词表
activity,活动,exam,13,0,8,中考词表
advantage,"优点;好处,有利条件",exam,14,0,3,中考词表
advertisement,广告,exam,15,0,0,中考词表
advice,"忠告,劝告,建议",exam,16,0,19,中考词表
afford,负担得起（…的费用）;抽得出（时间）;提供,exam,17,0,4,中考词表
afraid,害怕的;担心,exam,18,3,11,中考词表
Africa,非洲,exam,19,0,9,中考词表
after,在后;后来 prep. 在…之后 conj. 在…以后,exam,20,9,96,中考词表
afternoon,"下午,午后",exam,21,3,13,中考词表
again,"再一次;再,又",exam,22,2,30,中考词表
against,"对着,反对,倚靠",exam,23,2,12,中考词表
age,年龄;时代,exam,24,0,25,中考词表
ago,以前,exam,25,0,17,中考词表
agree,同意,exam,26,1,9,中考词表
air,空气;大气,exam,27,19,27,中考词表
aircraft,飞机 (单复数同),exam,28,0,0,中考词表
airline,航空公司;航空系统;航线,exam,29,0,0,中考词表
airplane,（美）飞机,exam,30,0,1,中考词表
airport,"航空站,飞机场",exam,31,2,4,中考词表
alike,"很相似地,同样地",exam,32,3,2,中考词表
alive,"活着的,存在的",exam,33,0,5,中考词表
all,全部地 a. 全（部）;所有的;总;整 pron. 全部;全体,exam,34,10,159,中考词表
allow,"允许,准许",exam,35,0,3,中考词表
almost,"几乎,差不多",exam,36,4,12,中考词表
alone,"单独的,孤独的",exam,37,4,10,中考词表
along,向前;和…一起;一同 prep. 沿着;顺着,exam,38,4,15,中考词表
already,已经,exam,39,0,20,中考词表
also,也,exam,40,27,114,中考词表
although,"虽然,尽管",exam,41,1,12,中考词表
always,"总是;一直;永远 am/æm/ v. be的人称形式之一  a.m./A.M. n. 午前,上午",exam,42,5,54,中考词表
amaze,"惊奇,惊叹;震惊",exam,43,0,0,中考词表
amazing,惊叹的;震惊的;令人惊讶的,exam,44,0,11,中考词表
America,美国;美洲,exam,45,0,4,中考词表
American,美国的;美国人的 n. 美国人,exam,46,0,3,中考词表
among,在…中间;在（三个以上）之间,exam,47,0,13,中考词表
